,Shared topic 1,Shared topic 2,Shared topic 9,Transcriptomics private topic 1,Transcriptomics private topic 2,Transcriptomics private topic 4
Vcpip1,-0.46075112,-1.3863688,-0.67759275,-0.56346244,-0.43676344,-0.5957179
Sgk3,-0.64528406,-0.61975765,-0.6486891,-0.6316435,-0.795742,-0.63106906
Ube2w,-0.61134785,-0.65178967,-0.5825959,-0.6197854,-0.50838846,-0.6005181
Eloc,-0.58418876,-0.3314464,-1.022608,-0.078734905,-1.8881034,-0.9820991
Kcnq5,-0.11819966,-2.1939306,0.11836445,-2.3174672,0.07980694,-1.4754794
Lmbrd1,-0.47411817,-1.0817783,-0.6163987,-0.7308738,-1.1160774,-1.3425342
Phf3,-0.15779448,-1.0481267,-0.32315364,-0.3259408,-0.044886842,-0.42151606
Prim2,-0.4953382,-2.3814473,0.13628876,-0.9069462,-0.7370095,-1.8288666
Zfp451,-0.515341,-1.0787274,-0.5069351,-0.4952877,-0.895345,-1.2598851
Hs6st1,-0.48315075,-1.7103099,-0.3687098,-0.5312561,-0.61162865,-0.8073312
Uggt1,-0.30209073,-0.8861846,-0.42657483,-1.3087623,0.09337412,-0.20961079
Tmem131,-0.17857069,-1.870065,-0.082229555,-0.5045405,-0.4503839,-1.659909
Aff3,0.053077076,-1.5958142,0.40459073,-1.3115664,0.5808265,-0.38926217
Mrps9,-0.60730726,-0.62905645,-0.4691155,-0.4726182,-0.2850709,-0.070626676
Nck2,-0.06937231,-1.7107322,-0.06713708,-1.6680455,0.4280207,-1.0686464
Stat1,-0.55216944,0.28715545,-0.3070182,-0.3285578,-0.6333147,-0.24825452
Plcl1,0.122386575,-3.0895731,0.20200646,-1.4915695,0.35630932,-1.2667627
Cflar,-0.3936251,-0.09663255,-0.45481405,-0.519497,-0.30017215,-0.44552872
Trak2,-0.48901436,-1.0177927,-0.5732815,-1.1715004,-0.4110742,-0.7616947
Cd28,-0.03551258,-1.2301099,-0.8752567,-0.42196053,-0.009629071,-0.49690273
Eef1b2,-0.5148203,0.4694785,-0.7240877,-0.03991159,-0.38738555,0.46449184
Kansl1l,0.0062042326,-3.3349977,0.17118669,-0.8438018,-0.42828256,-1.5591066
Ikzf2,-0.2383155,-0.42570975,-0.31581306,-0.28909516,0.13685581,-0.16521165
Igfbp5,-1.7049634,0.49923494,-0.08088666,-0.5120569,-0.9444734,0.69138956
Tns1,-0.63049,-1.2186201,-0.19672856,-0.4108045,-0.13531798,0.07972315
Cnppd1,-0.5692955,-0.61576545,-0.5588623,-0.5431352,-0.52829766,-0.5467043
Cul3,-0.119833075,-0.9144577,-0.2769143,-0.20271793,-0.25118282,-0.7777416
Sp100,-0.27553314,0.11888444,-0.60973936,-0.15686858,-0.7073321,-0.6986809
Itm2c,-1.3483932,0.7783488,-0.458359,-0.028985038,-1.3106145,0.07283074
Gigyf2,-0.47954652,-1.1266589,-0.014896572,-0.7356616,-0.13243315,-1.230417
Arl4c,-0.45362154,0.10167932,-0.6855411,-0.4313519,-0.8193308,-0.48288053
Hdac4,-0.36236197,-1.1014311,0.13816491,-0.45819885,-0.03831394,-0.96113855
Gpc1,-2.1028647,0.47817957,-0.500963,-2.4224262,-0.3489937,0.032337487
Cops9,-0.6025065,0.44901812,-1.6990323,0.021953017,-1.4892781,-0.22570169
Dtymk,-0.5404694,-1.5572281,-0.55497146,-0.02557072,-1.2251904,-1.4392956
D1Ertd622e,-0.62363786,-1.5188612,-1.1989579,-0.4151087,-0.9330235,-0.7341075
Bcl2,-0.54475343,0.32338023,-0.123024166,-1.0685916,0.311238,0.4509672
Clasp1,-0.22300482,-1.3073518,-0.2973966,-0.6848632,-0.24095915,-1.6316835
Mgat5,0.028460968,-2.0677412,-0.18279856,-1.1361377,0.344208,-1.2255384
Mapkapk2,-1.0807368,0.3093958,-0.37756965,-0.40744054,-0.829661,-0.14931709
Srgap2,-0.38323364,-1.3771847,-0.17861465,-1.4612694,-0.0068248212,-0.90996146
Rassf5,-0.4703204,0.4318517,-0.47939408,-0.6420488,0.12727182,1.044053
Nucks1,-0.41254878,-0.2818912,-0.4477153,-0.021021295,-0.04228676,0.39084852
Nek7,-0.26225728,-0.86175543,-0.34622955,-0.44818848,-0.08842078,-0.6724261
Rgs2,-1.0246724,-0.13144605,-0.8059824,-0.76381016,-0.9361067,-0.24373543
1700025G04Rik,-0.80907375,-0.20365474,-0.5717584,-0.57406723,-0.75581706,-0.1835854
Dhx9,-0.030994624,-0.99182826,-0.3960296,-0.21032718,-0.51490057,-1.348661
Cacna1e,-0.2242704,-2.8306377,-0.037908524,-2.15515,0.38773948,-0.65693164
Stx6,-0.062188588,-1.7866216,-0.3653793,-0.30737796,-0.3068534,-1.3252028
Xpr1,-0.40013885,-1.1982367,-0.4781334,-0.7544089,-0.075911924,-0.73549235
Abl2,-0.38492543,-1.0243773,-0.5108792,-1.367682,0.07329267,-0.6467804
Cop1,-0.34956992,-1.3831888,-0.4936417,-0.48407596,-0.80804896,-1.9568378
4930523C07Rik,-0.81232446,0.03028357,-0.81822574,-0.6084704,-0.649651,-0.27916086
Atp1b1,-0.8048348,0.08686751,-0.71019816,-0.9764636,-0.5616211,-0.73023856
Rgs5,-3.0347934,0.82102305,-2.1541307,-2.6599736,-1.8018321,-0.8029236
Pbx1,-0.647279,0.04301411,-0.2747671,-0.5177597,-1.0121977,-0.6008948
Uhmk1,-0.9321005,-0.0012506396,-1.2073104,-0.47831982,-0.65237147,-0.27955207
Slamf6,-0.34490263,-2.5637643,-0.3433162,-0.70842195,-0.50061363,-1.7433133
Tagln2,-0.9202964,0.7202402,-0.76503026,-0.15623592,-1.5669627,-0.6766206
Smyd3,-0.13234603,-1.569982,-0.058695436,-0.7129041,0.27710485,-0.75235784
Itpkb,-0.10335632,-0.94983464,-0.15341717,-1.1003052,0.4093668,-0.4795346
Marc2,-0.5271447,0.16574576,-0.72902316,-0.6880846,-0.08997229,0.19069493
Eprs,-0.39439154,-1.0921087,-0.48720258,-0.4023881,-0.9769861,-1.0738937
Cenpf,-0.2469481,-2.7365708,-0.9829974,-0.38279372,-0.8058677,-1.4680973
Stxbp5,-0.5311426,-1.4723804,-0.53292936,-0.48644826,-0.23867908,-0.7243253
Hivep2,0.01855082,-1.1165173,-0.12055899,-1.0613377,0.35747975,-0.49044657
Reps1,-0.46169016,-0.9485694,-0.43978703,-0.446479,-0.39917967,-0.50946724
Tnfaip3,-0.6062631,-0.7961353,-1.1041937,-0.44704852,-0.77146053,-0.6147869
Myb,0.21042195,-3.7272289,-0.25166255,-0.32812262,-0.08294064,-1.4099222
Ncoa7,-1.2877424,0.124754265,-0.552369,-0.60839915,-1.3324397,-1.015202
Tspyl1,-0.53802335,-0.7233453,-0.54059964,-0.5077414,-0.47647375,-0.46320337
Hdac2,-0.33127448,-0.7893696,-0.7856067,-0.25764513,-0.5041544,-0.44145948
E130307A14Rik,-0.19550087,-2.0133836,-0.031603068,-2.0654502,-0.05498548,-0.9067616
Themis,0.2815719,-3.3683043,0.17543097,-0.60221744,0.1815944,-1.721355
Crybg1,-2.1472151,0.53258014,-0.8831194,-2.1855948,-1.2335536,-0.1203531
Mcu,-0.32667217,-1.5227617,0.10649377,-1.5540024,0.002592355,-1.0106318
Sgpl1,-0.3076808,-0.6055223,-0.31670544,-0.2633926,-0.8376875,-0.44458964
Tbata,0.018698543,-2.8321319,0.058076665,0.17203003,-1.11003,-1.7073869
Srgn,-2.123258,0.7883872,-2.150999,-1.3749098,-2.1882179,-1.6956439
Herc4,-0.38869175,-1.0240341,-0.44025576,-0.6472235,-0.22391646,-0.5595218
Arid5b,-1.1020472,-0.07961492,-0.41869166,-0.8465359,-0.45770305,-0.50610507
Ank3,-0.55481094,-1.0947672,0.08621204,-0.31593102,-0.6850857,-0.8196357
Cabin1,-0.4728981,-0.72568357,-0.43274912,-0.5057708,-0.44547153,-0.47304922
Smarcb1,-0.55381036,-0.34435424,-0.52065367,-0.4761421,-0.9206983,-0.77170074
Pcnt,-0.22611554,-1.321528,-0.6619341,-1.7072728,0.15390532,-0.53167707
Sumo3,-0.68389636,-0.25771323,-0.4956066,-0.4532612,-0.683221,-0.43445244
Agpat3,-0.51681614,-0.5698248,-0.39650047,-0.6840874,-0.5441247,-0.6792078
Cstb,-0.3304814,-0.58811957,-0.1461455,0.46076956,-1.217867,-0.19038913
Bsg,-0.8688501,-0.053590156,-0.33957902,-0.034939468,-0.9824797,0.3555739
Cnn2,-1.1925642,0.38407838,-1.8165464,-0.22948156,-1.6601422,-1.3829553
Sbno2,-0.9680176,0.098919466,-0.58155334,-0.8602755,-0.10766195,0.20434195
Mum1,-0.53271854,-0.39082763,-0.46937913,-0.4728852,-0.25457352,-0.13733065
Mknk2,-0.43329385,-0.12265805,-0.37140623,-0.26215252,-0.7101177,-0.47647113
Timm13,-0.72547346,-0.025224574,-1.6411797,-0.006697327,-1.3118659,-0.32209814
Timp3,-1.6088262,0.3009498,-0.07751912,-0.77815926,-0.9022603,0.0008010268
Hsp90b1,-0.77532685,0.6462364,-0.32854342,-0.3125839,-0.3504707,0.6640167
Dcn,-1.092763,-0.7734027,0.7903813,0.12550911,-1.7242845,-1.2804656
Cnot2,0.069825366,-1.8784013,-0.12887867,-0.7175564,0.13104275,-0.84746706
Lyz2,-1.7234399,0.5917847,-0.9692111,-0.43089852,-2.1774697,-1.2424083
Ppm1h,-0.036110573,-1.8480642,-0.009144068,-0.997483,0.45082402,-0.4997397
B4galnt1,-1.3638012,0.70500517,-1.6217535,-1.8184779,-0.5678803,0.45041955
Ctdsp2,-0.41405708,-0.18247029,-0.32205707,-0.2607823,-0.07201384,0.33180916
Dctn2,-0.5220801,-0.50613725,-0.5387876,-0.4843461,-1.3709164,-1.1713474
R3hdm2,-0.3762725,-0.70001364,-0.42955446,-0.47995868,-0.2559709,-0.29347318
Stat6,-0.56818944,-0.72026336,-0.6737436,-0.49105155,-0.7824112,-0.6644581
Nab2,-1.3781484,0.33112836,-2.052315,-1.4248543,-0.23385018,0.77992785
Cs,-0.41232735,-0.11926104,-0.8172133,-0.35429788,-0.42434642,-0.3951286
Smarcc2,-0.079875484,-0.98407567,-0.32328176,-0.51284015,-0.1591309,-0.65798354
Rpl41,-0.2904217,0.38172144,-0.6809093,0.48287964,-1.7893069,-1.0977015
Cd63,-1.7654966,0.83791625,-1.2401152,-1.3296388,-1.823004,-1.0191414
Tespa1,-0.0012483336,-2.3025317,-0.2558964,-0.30926564,-0.24897505,-1.7543389
Sf3a1,-0.42135298,-0.20667818,-0.62393796,-0.39222744,-0.48611447,-0.37683976
Uqcr10,-0.53537667,-0.7012506,-0.3484866,0.30677965,-1.7179748,-1.6455078
Znrf3,-0.3590148,-1.0612656,-0.35668278,-2.021216,0.3513161,-0.59272504
Dbnl,-0.57567286,0.24585004,-0.5518321,-0.52291983,-0.6220631,-0.22865942
Nudcd3,-0.4083438,-0.6541708,-0.34465888,-0.4992507,0.19634742,0.051344693
Zmiz2,-0.9540587,0.1554144,-0.801256,-0.67784727,-1.3780596,-0.8395163
Ogdh,-0.36666885,-0.3874339,-0.44324332,-0.3824237,-0.32378066,-0.3557097
Myo1g,-1.1855768,0.12095538,-0.5618925,-0.48138672,-1.4054236,-1.6794492
H2afv,-0.17215165,-1.0043443,-0.79308575,0.36561918,-1.0145696,-0.46365705
Tns3,-0.41796666,-0.86280584,0.23272258,-0.29647154,-0.4868049,-0.59431654
Spred2,-0.6058198,-1.3697631,-0.4031213,-0.66881156,-0.3383687,-0.63102996
Vps54,-0.39812785,-0.93679196,-0.37951568,-0.4611039,-0.25407916,-0.4496478
Rel,-1.5139508,0.49281362,-1.785469,-0.90451074,-1.5914098,-0.30953884
Vrk2,-0.90795815,-0.65060896,-0.654407,-0.67996585,-0.6553265,-0.625798
Psme4,-0.23004912,-0.9774432,-0.46963304,-0.37171662,-0.3917424,-0.8387831
Pank3,-0.48298192,-1.1135508,-0.4402256,-0.43687475,-0.92827594,-0.9189364
Mat2b,-0.4336146,-0.45429748,-1.6131355,-0.3457654,-0.46956006,-0.32823965
Dock2,0.10362279,-1.2113063,0.18699202,-1.0319864,0.3700774,-1.3385267
Itk,0.03940408,-0.82135916,-0.3021318,-0.3843374,-0.10971393,-0.6893367
Ifi47,-1.1158082,0.03858547,-1.5611646,-0.5566318,-1.950325,-1.5255724
Zfp62,-0.24801284,-1.5427723,-0.80595934,-0.5151497,-0.7461777,-1.8643428
Sqstm1,-0.2859595,0.0778447,-0.1433299,-0.18763027,-0.47681952,-0.18315117
Hnrnph1,-0.19443372,-0.8077301,-0.4150992,-0.21104977,-0.34700632,-0.632665
Clk4,-0.5572399,-1.110486,-0.38533568,-0.59278584,-0.5102129,-1.0426643
Irf1,-1.1301341,0.66188514,-0.7834635,-0.92021835,-0.8521951,0.054541826
Rapgef6,-0.26125753,-0.15020165,-0.32884935,-0.77076113,-0.003518343,-0.35746777
Gpx3,-3.4929242,1.2394682,-0.3918035,-3.2258463,-2.1526806,-0.7908021
Anxa6,-0.60445213,0.27009073,-1.135704,-0.3356362,-0.60694075,-0.21387671
Gm2a,-1.7167823,0.3592918,-0.62781405,-0.9586234,-0.82040787,-0.1600759
Sparc,-1.523118,-1.3636358,0.71781075,-0.34255168,-1.8722169,-1.7602528
Atox1,-0.41269493,0.42530736,-0.43005735,0.25523645,-2.0359712,-1.7054168
Fam114a2,-0.56401265,-0.93972063,-0.5643848,-0.59705395,-0.77607703,-1.0233512
Cnot8,-0.28332475,-0.93874717,-0.5917202,-0.39252567,-0.44530052,-0.37419605
Guk1,-1.550638,0.47473228,-1.2898669,-0.54274434,-1.1929563,-0.4333561
Mprip,-0.08459024,-1.580426,0.10665557,-0.2150628,-0.1830543,-1.04883
Srebf1,-0.6273115,-0.60551566,-0.31405854,-0.9628625,-0.3814178,-0.3146097
Llgl1,-1.032795,-0.25075448,-1.7389973,-0.64389735,-0.43820226,0.11633468
Usp22,-0.5220772,-0.808869,-1.0620081,-0.48781142,-0.532392,-0.55959374
Ulk2,-0.5766432,-1.3977134,-0.38275653,-0.5982431,-0.88210064,-0.9706727
Akap10,-0.46632922,-1.7025594,-0.46503764,-0.67486227,-0.52316606,-1.3989911
Ncor1,0.0031685792,-0.806703,-0.16313311,-0.3538836,0.115716234,-0.65470105
Stx8,-0.47628534,-1.2319694,-0.008846462,-1.7780623,0.03845273,-1.1644492
Vamp2,-1.0879161,-0.30252734,-0.70583606,-0.69758385,-0.9941767,-0.62124443
Chd3,-1.1246343,0.6310327,-0.731348,-0.8630291,-0.5785021,0.01703167
Arrb2,-1.4470247,0.254677,-0.8139903,-0.76272625,-1.3850098,-0.94048476
Cxcl16,-2.4498692,0.78736746,-2.700275,-1.7985157,-2.5578773,-2.1504126
Ankfy1,-0.45664302,-0.07124785,-0.4614759,-0.36126697,-0.21219556,0.12224156
Ncbp3,-0.5908212,-0.9185621,-0.62533534,-0.40131477,-0.5665277,-0.40150678
Inpp5k,-0.47799516,-0.77273333,-0.4789704,-0.50879407,-0.43466777,-0.43043008
Nufip2,-0.32260975,-0.93296075,-0.35865697,-0.50838906,-0.17538388,-0.5575323
2610507B11Rik,-0.4654442,-0.710198,-0.4981302,-0.47537893,-0.4586768,-0.5213316
Nlk,-0.20761901,-0.8685441,-0.24115762,-1.5903687,0.15327601,-0.7725804
Lgals9,-0.24614315,-0.9224537,-0.51552343,-0.06783531,-1.6346544,-1.9721825
Wsb1,-0.6368674,-0.57255185,-0.6784481,-0.6149079,-0.54510355,-0.4659963
Nf1,-0.4707517,-1.6222936,0.19091141,-1.245052,-0.085382015,-1.352054
Slfn2,-0.8906916,0.44022384,-1.1085395,-0.57485974,-0.6909474,0.66034985
Ccl5,-3.9032507,0.8280964,-3.944816,-3.4861486,-3.5124216,-2.8991127
Wfdc18,-4.037312,1.158947,-3.9677548,-3.7039232,-3.5448709,-2.9295478
Synrg,-0.31008682,-0.9142726,-0.28552738,-0.4660905,-0.5377537,-0.57732266
Usp32,-0.569373,-1.0304335,-0.48360872,-0.70889384,-0.42295033,-0.649891
Appbp2,-0.4531862,-0.6412014,-0.48292017,-0.34807593,-0.42217493,-0.3232015
Bcas3,-0.18155965,-1.3513839,0.20814359,-1.817321,0.42231953,-0.75923175
Rps6kb1,-0.34495246,-1.8233293,-0.5638069,-0.65214443,-0.24905407,-1.2672403
Ska2,-0.47307432,-1.8131648,-0.12560901,-0.29799783,-1.2971449,-2.4392948
Trim25,-0.7616743,0.3701668,-0.18434577,-0.4820527,-0.5202208,0.20696771
Ube2z,-0.90902233,0.2844907,-0.49925748,-0.7845386,-0.23185799,0.9547055
Cbx1,-0.27959985,-1.1953466,-0.4257546,-0.057031736,-1.6360128,-1.8742061
Nfe2l1,-1.1621778,0.4547688,-0.653873,-1.5131419,-0.43474787,0.407066
Npepps,-0.32694483,-1.1030778,-0.3760762,-0.4275751,-0.6745323,-1.7822374
Mllt6,-1.466336,0.5755849,-1.906127,-1.4207864,-0.5308603,0.42697382
Lasp1,-0.9060875,0.44095844,-0.95567167,-0.11702925,-0.6139507,0.35073984
Skap1,0.009792604,-1.0954796,0.15683213,-1.0507958,0.4950837,-0.40012485
Arl5c,0.13072821,-2.8933406,-0.3211744,-0.061603636,-1.5135998,-2.3509223
Ikzf3,-0.17852798,-1.1267853,-0.102681264,-0.8174266,0.05523602,-0.40958816
Rara,-0.62113416,-0.6541214,-0.6866062,-0.6786554,-0.7071048,-0.6383778
Ccr7,-3.2863088,1.128138,-3.3277767,-2.956842,-2.2109487,-1.2113905
Top2a,-0.09011949,-2.123723,-0.15665522,0.072964385,-0.34919494,-1.6345594
Igfbp4,-2.2221217,1.0318782,0.38344777,-1.9872174,-1.1698091,-1.0138066
Krt14,-2.662759,0.9619162,-2.1155024,-1.8063195,-2.1172435,-1.0553544
Krt17,-1.6223558,0.7865654,-1.0216665,-0.41231316,-2.1446986,-1.5250821
Jup,-0.40437543,-0.92209333,-0.4161576,-0.38368857,-1.0564561,-0.8870684
Stat5a,-0.43143713,-0.21290767,-0.44751543,-0.44132763,-0.5441932,-0.59837115
Stat3,-0.38474992,0.5801251,-0.40603548,-0.43253523,-0.18810216,-0.12315895
Dhx8,-0.33928585,-1.2387164,-0.59918565,-0.30924237,-0.68045616,-0.56711495
Gpatch8,-0.2871455,-1.182196,-0.41203207,-0.7746578,0.01569125,-0.55177385
Ubtf,-0.4573129,0.2386772,-0.8326005,-0.2815967,0.05923239,0.74180484
Eftud2,-0.5388922,-0.14305145,-0.58947843,-0.44301546,-1.0859749,-1.2204068
Kansl1,-0.018304445,-1.0687181,0.014560118,-1.2909712,0.46237808,-0.702816
Pecam1,-0.49151188,-0.63730776,-0.4216141,-1.0303195,0.13723928,-0.29973033
Helz,-0.10174513,-1.4798018,-0.1460472,-1.0083292,0.23316562,-0.51077944
Gna13,-0.28789678,-0.6798831,-1.1913397,-0.32712287,-0.3962994,-0.22751716
2610035D17Rik,-0.37343046,-1.0911438,-0.46708414,-1.3442051,0.18579043,-0.49471626
Birc5,-0.45623443,-1.7747281,-0.5881157,0.1324714,-1.0569205,-0.7461004
Syngr2,-2.4273272,1.0828272,-2.0662155,-2.0639234,-1.1002733,0.5871327
Timp2,-1.2544234,-0.0010506511,0.063908756,-0.5985764,-0.8205371,-0.87549174
Rnf213,-0.97852695,0.65223366,-0.5940075,-0.5279161,-0.39376163,-0.032314062
Nploc4,-0.63828516,-0.48554832,-0.5560343,-0.6906897,-0.3943545,-0.17644617
Mcrip1,-0.6711458,0.15498681,-0.8686031,-0.40349764,-0.570466,0.7051934
Sirt7,-0.6248883,-0.976684,-0.5138835,-0.64642453,-1.0025473,-1.761857
Cbr2,-0.27690172,-2.626028,-0.070853904,0.33786574,-1.2264757,-1.2621776
BC017643,-0.5797045,-0.32416314,-0.71176296,-0.5023265,-0.80348015,-0.56048137
Rab10,-0.3276232,-0.85498285,-0.35121074,-0.34571898,-0.43637723,-0.5134432
Ncoa1,-0.18128198,-1.7425148,-0.22459793,-0.68588865,-0.24593312,-1.4062064
Klhl29,-1.0135853,-1.4130868,-0.039212227,-0.62946427,-0.6887064,-0.2201437
Laptm4a,-0.78474456,-0.84602666,-0.3558653,-0.56496924,-0.9579971,-1.6175687
Itgb1bp1,-0.88016987,-0.5079741,-0.7660841,-0.57149625,-1.0580438,-0.6807129
Rrm2,-0.46205992,-1.8717759,-0.6087384,-0.30723688,-1.0120555,-1.1402628
Id2,-2.2422304,0.5999211,-2.9393177,-0.8877923,-1.9742649,-1.2895335
Hbp1,-0.53645664,-1.2864869,-0.7051361,-0.30492395,-1.3218529,-1.7767596
Atxn7l1,-0.35389546,-1.0682523,-0.30094934,-0.90454656,-0.029086709,-0.51729673
Snx13,-0.4782622,-1.9641315,-0.5324949,-0.85753727,-0.058230966,-0.84611225
Immp2l,-0.6001122,-1.1032912,-0.095798254,-1.1390381,-0.22021653,-0.73846096
Sptssa,-0.39431262,-0.47563055,-0.4519537,-0.34418303,-0.38810354,-0.27883998
Nfkbia,-0.51299167,0.6992962,-1.007743,-0.48900694,-0.13431644,0.72144145
Mipol1,-0.5090883,-0.8748019,-0.5666694,-0.5736224,-1.3112948,-2.1798394
Mia2,-0.3436717,-1.4686823,-0.15592353,-0.34183508,-0.8357478,-1.8193891
Sgpp1,-0.6807672,0.50187516,-0.76729065,-0.57179046,-0.56697965,0.44069564
Fut8,-0.12074988,-2.4232063,0.06540236,-0.8892285,-0.25692248,-1.7371659
Zfp36l1,-0.9325426,0.8340618,-1.3286941,-0.52282935,-0.77077466,0.5264807
Susd6,-0.33813292,-0.17139558,-0.2487411,-0.6501131,0.12994768,0.2346912
Sipa1l1,-0.2500249,-0.74984324,-0.18630718,-0.7944901,0.07744641,-0.5518759
Npc2,-0.67374194,0.7111002,-1.0242585,0.20550647,-1.038807,0.27131853
Nek9,-0.49124986,-0.48744804,-0.5883825,-0.43516868,-1.1625092,-0.6581567
Ppp4r3a,-0.17594816,-0.8921715,-0.87433934,-0.37541324,-0.25446752,-0.42547876
Cpsf2,-0.6443919,-0.98209715,-0.6360253,-0.55750024,-0.77826583,-0.7308455
Ifi27l2a,-3.1384654,1.0459608,-0.40466803,-1.9709415,-2.636664,-1.7750187
Glrx5,-0.8785622,-0.058967806,-2.06086,-0.101176724,-1.021329,-0.43164966
Klc1,-0.5121812,-0.77701783,-0.55148983,-0.76675284,-0.048398584,-0.40386814
Siva1,-0.7827436,-1.0262959,-0.78113234,0.10546717,-1.7468295,-1.094609
Akt1,-0.4010889,-1.1307383,-0.4737931,-0.4359834,-0.8598561,-1.4134238
Pacs2,-0.84718597,-0.6266472,-0.623812,-0.6619936,-0.60710025,-0.64606434
Brf1,-0.4729701,-1.6492794,-0.62363523,-0.5164419,-0.32797188,-0.5178293
Ighm,-0.19155182,-1.998512,0.0732311,0.2236138,-1.2006793,-1.6045618
Klf6,-0.92773616,0.29734826,-1.3840233,-0.6091175,-1.070792,-0.42723763
Zmynd11,-0.24101304,-0.99641275,-0.3404593,-0.4424294,-0.18388654,-0.44933262
Lyst,0.06510319,-2.4016018,-0.31685784,-0.3376465,0.01894886,-0.6855209
Hist1h1b,0.1542822,-3.1447325,-1.0371999,0.25912738,-1.57406,-1.8455037
